yuktype	L1	L2	L3	L4	L5	m11sq	m22sq	m12sq	tbeta	O111111	O111122	O122111	O121211	O111112	O121221	O112212	O222222	O112222	O122122	O121222	O122222	O121212	OQU111	OQU112	OQU121	OQU122	OQU211	OQU212	OQU221	OQU222	OQD111	OQD112	OQD121	OQD122	OQD211	OQD212	OQD221	OQD222	OLE111	OLE112	OLE121	OLE122	OLE211	OLE212	OLE221	OLE222
2	0.17259130377329598	0.31011410850564597	10.755617604068698	-6.10991374635283	-4.4124856353319695	294593.191908555	153587.047124767	220944.82815232102	1.3624174772434101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1.28036485579325	0.34092785013676696	9.28805601225066	-4.87156952418915	-4.45022256339148	310042.453132156	90426.29240922	176721.905987479	1.80170562178419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1.16656444691395	0.724232943917	8.224822077530321	-4.77915167393348	-3.85987464519005	253361.925270142	131209.529256498	190611.160304597	1.35221457389607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.37354774771068794	0.22933043552886703	8.82751805922995	-4.41987352995751	-4.16751158676592	246983.71812473	167361.138941894	211283.943212123	1.21117555359294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.452739038339798	0.229004440618706	9.964775828749199	-5.194468132054389	-4.38797648098457	510655.430166847	49471.0175742794	172369.854441689	3.03100667338992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1.4309910016733798	0.532413205790029	8.29459540253121	-4.710341776541941	-4.01475707342398	307397.233426224	64879.439697403795	151620.103037247	2.0149010230002298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1.27246671618504	0.255189042656775	9.24132021887989	-5.13994970600204	-3.9143843407526	349882.608053723	49966.812582191604	143787.177262009	2.5042268291084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.8686607577018559	0.636178882332072	8.36100249084895	-4.16853301369152	-4.42579442818249	227730.511089561	138144.867038218	185447.827221245	1.25950883633528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
